SR_no,ATM ID,SD & T,ED &T
211,E1AWDH36,43461.49444,43461.79931
212,E1AWDH36,43462.69444,43462.78333
213,E1AWHU01,43437.65208,43437.69444
214,E1AWHU01,43440.25833,43440.38264
215,E1AWHU01,43442.53403,43444.57222
216,E1AWHU01,43447.41389,43447.56875
217,E1AWHU01,43448.39861,43448.58681
218,E1AWHU01,43448.58681,43448.68333
219,E1AWHU01,43448.68819,43448.76875
220,E1AWHU01,43448.68819,43448.77014
221,E1AWHU01,43451.82639,43452.44514
222,E1AWHU01,43458.625,43458.70556
223,E1AWHU01,43461.60278,43461.66736
224,E1AWHU01,43461.66736,43461.74792
225,E1AWID02,43436.45694,43436.51806
226,E1AWID02,43441.50556,43444.5
227,E1AWID03,43441.51806,43458.77292
228,E1AWID03,43441.51806,43458.77431
229,E1AWID03,43441.7375,43441.79514
230,E1AWID03,43465.79167,43466.32153
231,E1AWJH01,43436.25278,43436.32569
232,E1AWJH01,43444.51736,43444.59583
233,E1AWJH01,43444.52431,43444.59583
234,E1AWJH01,43445.56458,43445.61875
235,E1AWJH01,43445.67431,43445.90625
236,E1AWJH01,43445.72014,43445.90625
237,E1AWJH01,43445.90625,43446.45486
238,E1AWJH01,43447.40486,43447.44722
239,E1AWJH01,43447.47708,43447.55694
240,E1AWJH01,43449.49236,43449.53819
241,E1AWJH01,43449.51806,43449.57569
242,E1AWJH01,43451.41806,43452.37431
243,E1AWJH01,43459.68056,43460.48958
244,E1AWJH01,43460.40694,43460.48958
245,E1AWJO03,43456.53958,43456.71944
246,E1AWJP01,43435.84653,43436.46875
247,E1AWJP03,43446.90139,43447.45139
248,E1AWJP03,43455.69444,43455.77431
249,E1AWJP03,43461.725,43461.77361
250,E1AWJP03,43461.85486,43462.43264
251,E1AWJP03,43465.85417,43466.42917
252,E1AWJP04,43445.65,43445.79167
253,E1AWJP04,43461.40903,43461.56736
254,E1AWJP04,43462.69097,43462.74375
255,E1AWKR01,43436.90833,43437.34931
256,E1AWKR01,43437.40486,43437.57222
257,E1AWKR01,43438.70417,43439.5375
258,E1AWKR01,43448.22986,43448.33681
259,E1AWKR01,43449.18403,43449.32361
260,E1AWKR01,43451.15764,43451.32986
261,E1AWKR01,43454.76458,43455.56458
262,E1AWKR01,43457.39931,43457.44861
263,E1AWKR01,43457.53194,43458.57986
264,E1AWKR01,43460.49444,43460.54167
265,E1AWKR01,43462.05764,43462.3875
266,E1AWKR01,43463.04514,43463.37292
267,E1AWKR01,43464.39097,43464.44583
268,E1AWKR01,43464.51597,43465.36458
269,E1AWMU02,43435.34722,43435.39792
270,E1AWMU02,43435.47431,43435.53958
271,E1AWMU02,43436.83681,43436.94653
272,E1AWMU02,43438.29722,43438.40417
273,E1AWMU02,43438.43472,43438.75764
274,E1AWMU02,43439.62639,43439.78125
275,E1AWMU02,43439.67778,43448.80278
276,E1AWMU02,43455.15764,43455.25625
277,E1AWMU02,43457.0125,43457.14306
278,E1AWMU02,43465.27569,43465.38681
279,E1AWMU03,43440.19722,43440.25208
280,E1AWMU03,43455.15694,43455.25625
281,E1AWMU03,43457.0125,43457.14306
282,E1AWMU03,43463.79861,43463.96875
283,E1AWMU05,43451.50347,43451.57917
284,E1AWMU05,43453.70417,43453.97292
285,E1AWMU05,43454.76736,43454.82778
286,E1AWMU05,43454.86736,43455.8375
287,E1AWMU05,43462.69097,43462.76458
288,E1AWMU09,43441.76389,43455.59514
289,E1AWMU10,43451.03264,43451.56875
290,E1AWMU11,43439.67778,43445.77431
291,E1AWMU11,43440.67778,43445.77431
292,E1AWMU11,43441.56944,43441.61319
293,E1AWMU12,43436.69722,43436.775
294,E1AWMU12,43439.60833,43439.79306
295,E1AWMU12,43451.40556,43451.57222
296,E1AWMU12,43453.78889,43454.42014
297,E1AWMU12,43454.42083,43454.59028
298,E1AWMU12,43461.49653,43462.79236
299,E1AWMY01,43438.82222,43438.87639
300,E1AWMY01,43448.54097,43448.58681
301,E1AWMY01,43455.70139,43456.71389
302,E1AWMY01,43456.71389,43456.75694
303,E1AWMY01,43464.625,43464.70069
304,E1AWPB01,43458.61944,43458.77222
305,E1AWPB01,43458.81181,43460.42569
306,S1ACAB02,43453.11806,43453.37986
307,S1ACAB02,43453.48542,43453.5625
308,S1ACAB02,43459.76319,43459.95694
309,S1ACAB02,43459.96181,43460.32639
310,S1ACAB02,43460.35069,43460.42014
311,S1ACAB02,43462.81111,43462.86181
312,S1ACAB43,43451.53194,43451.8375
313,S1ACAB43,43457.69653,43458.61319
314,S1ACAB85,43451.5625,43451.84514
